Name,Team,Age,Main_role,Secondary_role,third_role,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
Craig Bryson,St. Johnstone, 34, M(C),,,12(8),1171,-,-,2,-,0.6,81.5,0.9,-,6.42
Tony Andreu,Ross County, 33, AM(C),,,4(2),321,-,-,-,-,1.8,80.3,0.7,-,6.42
Harrison Paton,Ross County, 23, AM(CR),,,25(7),2106,1,3,5,-,0.7,78.5,0.3,1,6.42
Youssouf Mulumbu,Kilmarnock, 34, M(C),,,6(10),651,-,1,1,-,0.2,84.8,0.8,-,6.42
Trevor Carson,Motherwell, 33, GK,,,12,992,-,-,1,-,-,62.6,0.3,-,6.41
Carl Tremarco,Ross County, 35, D(L),,,6(4),491,-,-,1,1,-,66.7,1,-,6.41
Paul McMullan,Dundee United, 25, Forward,,,3(5),322,-,-,-,-,0.3,69.8,0.3,-,6.41
Clévid Dikamona,Kilmarnock, 30, D(C),,,10(2),803,-,-,1,1,0.4,62.4,2.4,-,6.41
Karamoko Dembele,Celtic, 18, Midfielder,,,0(5),45,1,-,-,-,0.4,85,-,-,6.40
Stephen Mallan,Hibernian, 25, M(C),,,4(10),508,1,-,2,-,0.9,77,0.5,-,6.40
Jack MacKenzie,Aberdeen, 20, D(L),,,5(1),474,-,-,1,-,-,80.3,0.5,-,6.40
Lee Hodson,Hamilton Academical, 29, D(R),M(R),,29,2469,1,-,-,-,0.4,60.8,0.9,1,6.40
Reegan Mimnaugh,Hamilton Academical, 19, M(C),,,5(8),529,-,1,2,-,0.2,66.2,0.7,-,6.39
Drey Wright,Hibernian, 26, Midfielder,,,11(9),943,1,1,-,-,0.3,73,0.4,-,6.39
Zech Medley,Kilmarnock, 20, D(C),,,6(1),576,1,-,-,-,0.7,57.8,2.1,-,6.39
Stevie May,St. Johnstone, 28, FW,,,17(17),1711,5,4,-,-,1.4,66.9,0.7,-,6.39
Nathan Thomas,Hamilton Academical, 26, AM(LR),FW,,3(3),250,-,-,-,-,1.3,68.9,0.2,-,6.39
Rory McKenzie,Kilmarnock, 27, AM(CLR),,,20(5),1741,2,-,3,-,1.1,74.3,0.3,-,6.39
